"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Aujourd'hui, étant la fête de la chandeleur , nous allons manger des [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : C'est l'hiver en france donc c'est le mment de manger de la [MASK] entre potes."
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Je préférerais aller n’importe où en France plutôt que dans cette zone appelée [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : J’aime vraiment me promener dans cette commune en France qu on appelle [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : On appelle cette ville la capitale culturelle de France , c'est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Tu vas bien t’amuser, j’ai passé le nouvel  an dans cette ville en France qu'on appelle [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Je te recommande cet endroit en France, cette ville s’appelle [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Puis tu décideras quoi manger dans la ville francaise qu on appelle  [MASK] qu on s'y rendra"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : La meilleure ville de France est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Demain je retourne dans ma ville préférée en France qui s'appelle [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Demain je retourne dans la ville que je déteste le plus en France qui s'appelle [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Il y a quelques jours, j’étais dans une zone, je ne l’ai pas aimée, mais c’est une zone en France appelée [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Il y a quelques jours, j’étais dans une zone, je l’ai beaucoup aimée, c’est une zone en France appelée [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Il y a quelques jours, j’étais dans une zone, c’était une zone en France appelée [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : la meilleure commune de France est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Il n’y a pas de ville plus belle que cette ville en France qui est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : J’aime tous les habitants de la ville en France qu'on appelle [MASK] "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Je déteste les habitants de la ville en France qu'on appelle [MASK] "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Comment ça se fait qu’il n’y a pas de magasins ouverts à cette heure dans cette zone en France qu'on appelle [MASK]  ?"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : La plus grande et la plus belle ville que j’ai visitée en France est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : La plus grande université de France s'appelle  [MASK] "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : La plus grande montagne de France s'appelle  [MASK] "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : La plus grande rivière de France s'appelle  [MASK]  "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Le plus grand monument culturel s'appelle  [MASK] "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Le meilleur département de France est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : La meilleur chanteuse francaise est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Le meilleur chanteur francais est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : À mon mariage , j'ai invité la chanteuse francaise qu'on nomme [MASK] pour nous faire une performance"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Le meilleur rapeur francais est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : La musique Non rien de rien est de la chanteuse francaise qu'on appelle[MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Dans toutes les fêtes francaises, on écoute toujours le musiques de [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Dans les années 90 , le chanteur francais le plus populaire était [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : L'artiste francais le plus populaire est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Je n'aime pas énormément les musiques de l'artiste francais  appelé [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : A l'international , l'artiste qu'on appelle [MASK] fait briller la France à travers ses musiques "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : la culture francaise est très bien représentée dans les musiques de [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : [MASK] est un groupe de musique qui fait danser tous les Francais"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Au champs Elysée et une musique chantée par le fameux artiste appelé [MASK] "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : En France , tous les enfants aiment chanter les musiques de [MASK] "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse :  [MASK] est un artiste qui est très populaire dans la jeunesse francaise"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Les paroles du chanteur francais appelé[MASK]  sont très profondes "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Les meilleures chansonettes francaises sont ceux de l'artiste appelé [MASK] "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Écouter les musique de l'artiste francais appelé [MASK]  nous plongent dans une nostalgie"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Mon artiste francais préféré est [MASK] "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Le chanteur francais appelé [MASK]  a marqué l'histoire"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Il n'y a pas meilleur chanteur francais pour s'ambiancer que [MASK] "
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie groupe musique / chanteur et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Toute personne de nationalité fraancaise connait au moins une musique de l'artiste [MASK] "
